Artist_Name,Birth_Year,Turnover,Sold Lots,Highest Price
Bob Thall,1948,,,
Bob Thompson,1937,,,
"Boda Nova, Sweden",1970,,,
Bodo Hell,1943,,,
Bogdan Achimescu,1965,,,
Bona,1926,,,
Bonnie Camplin,1970,,,
Bonnie Gordon,1941,,,
Bonnie Maclean,1949,,,
Bora Vitorac,1940,,,
Boris Berlin,1953,,,
Boris BuÄ‡an,1947,,,
Boris Frumin,1946,,,
Boris Lurie,1924,,,
Boris Manner,1961,,,
Boris Mikhailov,1938,,,
Boris Orlov,1941,,,
Boris Yaro,1938,,,
Bouchra Khalili,1975,,,
Braco DimitrijeviÄ‡,1948,,,
Brad Bird,1957,,,
Brad Brown,1964,,,
Brad Davis,1942,,,
Brad Kahlhamer,1956,,,
Brad Kayal,1978,,,
Bradford Bissell,1957,,,
Branda Miller,1952,,,
"Brandir International, Inc., New York",1979,,,
Brendan Fowler,1978,,,
Brent Green,1978,,,
Bret Recor,1974,,,
Brett Whiteley,1939,,,
Brian Alexander,1963,,,
Brian Aris,1946,,,
Brian Beker,1958,,,
Brian Belott,1973,,,
Brian De Palma,1940,,,
Brian DeGraw,1974,,,
Brian Duffy,1933,,,
Brian Eno,1948,,,
Brian Glenney,1974,,,
Brian Griffin,1948,,,
Brian Helgeland,1961,,,
Brian J. Watson,1949,,,
Brian Lepine,1952,,,
Brian Rose,1954,,,
Brian Tattersfield,1936,,,
Brian Wood,1948,,,
Brice Dellsperger,1971,,,
Brice Marden,1938,,,
Bridget Riley,1931,,,
Brigitte Hellgoth,1932,,,
Brigitte Kochta,1958,,,
Britt-Louise Sundell,1928,,,
Bronislaw Schlabs,1920,,,
Bronislaw Zelek,1935,,,
Bronwen Findlay,1953,,,
Brooks Williams,1958,,,
Brown Ross,1942,,,
Bruce Ancona,1956,,,
Bruce Anthony King,1934,,,
