Artist_Name,Turnover,Sold Lots,Highest Price,Top_500_Rank
Jennifer LEE,"$308,798 ",18,"$52,543 ",410
Bae LEE,"$308,418 ",10,"$48,950 ",411
Luciano CASTELLI,"$307,091 ",32,"$32,601 ",412
GU Wenda,"$306,179 ",9,"$163,269 ",413
James BROWN,"$305,987 ",48,"$86,859 ",414
Shane GUFFOGG,"$305,240 ",3,"$303,602 ",415
Joana VASCONCELOS,"$305,211 ",6,"$248,325 ",416
Carrie Mae WEEMS,"$303,929 ",9,"$81,250 ",417
Philip Anthony CLAIRMONT,"$303,761 ",12,"$219,268 ",418
XU Jiang,"$302,831 ",5,"$113,687 ",419
Gede MAHENDRA YASA,"$302,440 ",4,"$224,105 ",420
Callum INNES,"$302,129 ",15,"$62,666 ",421
Tony BEVAN,"$301,428 ",8,"$146,820 ",422
XUE Song,"$301,002 ",11,"$106,626 ",423
Susan ROTHENBERG,"$300,316 ",7,"$137,500 ",424
Federico DIAZ,"$298,993 ",2,"$287,975 ",425
XIA Xiaowan,"$298,681 ",3,"$104,494 ",426
Bronwyn OLIVER,"$298,205 ",4,"$175,587 ",427
LIU Dahong,"$297,357 ",2,"$287,357 ",428
Tom OTTERNESS,"$297,210 ",14,"$212,500 ",429
ZHENG Li,"$296,755 ",2,"$209,815 ",430
Lewis BALTZ,"$295,383 ",15,"$118,750 ",431
Ilya & Emilia KABAKOV,"$293,710 ",3,"$277,326 ",432
Nabil NAHAS,"$290,999 ",6,"$115,960 ",433
SHI Dawei,"$290,850 ",16,"$154,365 ",434
ZENG Xiaojun,"$290,594 ",3,"$159,324 ",435
YE Shanming,"$289,385 ",2,"$164,342 ",436
Heimo ZOBERNIG,"$288,303 ",11,"$56,250 ",437
Jacqueline HUMPHRIES,"$288,222 ",4,"$255,909 ",438
CHEN Yongqiang,"$287,283 ",35,"$50,957 ",439
Dondi WHITE,"$286,820 ",2,"$152,564 ",440
Kochinian HOVIK,"$285,560 ",3,"$177,000 ",441
William ACHEFF,"$285,485 ",13,"$112,500 ",442
Anthony POON,"$284,884 ",7,"$58,765 ",443
Donald BAECHLER,"$282,999 ",35,"$52,500 ",444
Walter SWENNEN,"$282,785 ",11,"$97,732 ",445
Warlimpirrnga TJAPALTJARRI,"$279,652 ",10,"$130,920 ",446
PENG Changan,"$278,429 ",1,"$278,429 ",447
Jonas BURGERT,"$277,326 ",2,"$163,134 ",448
